Reference, Value, Footprint, Datasheet, Mouser Part No.
"P3","Raspberry_Pi_+_Conn","w_conn_strip:vasch_strip_20x2","","517-30340-6002"
"U3","CAT24C32HU4I-GT3","w_smd_dil:tssop-8","","698-CAT24C32YI-GT3"
"R1","1k","Resistors_SMD:R_0603","","754-RR0510P-102D"
"P1","CONN_01X02","w_pin_strip:pin_strip_2",""
"R2","3.9k","Resistors_SMD:R_0603","","71-CRCW04023K90FKED"
"R3","3.9k","Resistors_SMD:R_0603","","71-CRCW04023K90FKED"
"JP1","JUMPER","Resistors_SMD:R_0603",""
"P2","CONN_01X02","w_conn_mkds:mkds_1,5-2","","651-1904383"
"C3","0.1uf","Capacitors_SMD:C_0603","","810-C1005X5R1H104K"
"C1","330uf/50v","w_smd_cap:c_elec_6.3x7.7","","647-UUR1H470MCL6GS"
"L1","47uH","w_smd_inductors:inductor_smd_8x5mm","","652-SRN8040-220M"
"C5","330uf/35v","w_smd_cap:c_elec_6.3x7.7","","647-UUR1H470MCL6GS"
"D1","50WQ04","w_smd_diode:do214aa","","512-MBRS140"
"U1","LM2596S-5.0","TO_SOT_Packages_SMD:TO-263-5Lead",""
"U2","MIC5219-3.3BM5","TO_SOT_Packages_SMD:SOT-23-5",""
"C4","10u","Capacitors_SMD:C_0603",""
"C2","10u","Capacitors_SMD:C_0603",""
"C14","330uf/50v","w_smd_cap:c_elec_6.3x7.7","","647-UUR1H470MCL6GS"
"L2","47uH","w_smd_inductors:inductor_smd_8x5mm","","652-SRN8040-220M"
"C15","330uf/35v","w_smd_cap:c_elec_6.3x7.7","","647-UUR1H470MCL6GS"
"D4","50WQ04","w_smd_diode:do214aa","","512-MBRS140"
"U8","LM2596S-5.0","TO_SOT_Packages_SMD:TO-263-5Lead",""
"J1","Display power","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm",""
"D6","LED_Small","LEDs:LED_0805",""
"D7","LED_Small","LEDs:LED_0805",""
"D8","LED_Small","LEDs:LED_0805",""
"R22","10","Resistors_SMD:R_0603",""
"R24","100","Resistors_SMD:R_0603",""
"R18","100","Resistors_SMD:R_0603",""
"Q5","BSS138","TO_SOT_Packages_SMD:SOT-23","","621-DMG2305UX-13"
"U9","DMMT5401","w_smd_trans:sot23-6","","621-DMMT5401-7-F"
"R26","47k","Resistors_SMD:R_0603","","667-ERJ-2RKF4702X"
"R25","10k","Resistors_SMD:R_0603","","71-CRCW0402-10K-E3"
"U11","FGPMMOPA6H","aeroPi:PA6H",""
"D5","3D FIX","Diodes_SMD:D_0603",""
"R23","470","Resistors_SMD:R_0603",""
"J7","CONN_COAXIAL","Connectors_Molex:Molex_Microcoaxial_RF",""
"BT2","Battery_Cell","Connectors:CR1220",""
"C23","0.1u","Capacitors_SMD:C_0603",""
"C22","10u","Capacitors_SMD:C_0603",""
"L3","Ferrite","Resistors_SMD:R_0805",""
"J6","CONN_01X02","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm",""
"U10","MPU-9250","Housings_DFN_QFN:QFN-24_3x3mm_Pitch0.4mm",""
"C24","0.1u","Capacitors_SMD:C_0603",""
"C19","0.1u","Capacitors_SMD:C_0603",""
"C17","10n","Capacitors_SMD:C_0603",""
"J8","CONN_01X02","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm",""
"Q1","BSS138","TO_SOT_Packages_SMD:SOT-23",""
"R8","10k","Resistors_SMD:R_0603",""
"R9","10k","Resistors_SMD:R_0603",""
"R5","220","Resistors_SMD:R_0603",""
"R4","220","Resistors_SMD:R_0603",""
"U6","ADS7828","Housings_SSOP:TSSOP-16_4.4x5mm_Pitch0.65mm",""
"C10","0.1u","Capacitors_SMD:C_0603",""
"Q2","BSS138","TO_SOT_Packages_SMD:SOT-23",""
"R10","10k","Resistors_SMD:R_0603",""
"R13","10k","Resistors_SMD:R_0603",""
"R6","220","Resistors_SMD:R_0603",""
"U4","Airspeed","SMD_Packages:SOIC-8-N",""
"C8","0.01u","Capacitors_SMD:C_0603",""
"C11","470p","Capacitors_SMD:C_0603",""
"U5","MAP Pressure","SMD_Packages:SOIC-8-N",""
"C9","0.01u","Capacitors_SMD:C_0603",""
"R7","51k","Resistors_SMD:R_0603",""
"C12","47p","Capacitors_SMD:C_0603",""
"C6","1u","Capacitors_SMD:C_0603",""
"C7","1u","Capacitors_SMD:C_0603",""
"J2","CONN_01X03","Pin_Headers:Pin_Header_Straight_1x03_Pitch2.54mm",""
"Q3","BSS138","TO_SOT_Packages_SMD:SOT-23",""
"R11","10k","Resistors_SMD:R_0603",""
"R14","10k","Resistors_SMD:R_0603",""
"J3","CONN_01X03","Pin_Headers:Pin_Header_Straight_1x03_Pitch2.54mm",""
"J4","CONN_01X03","Pin_Headers:Pin_Header_Straight_1x03_Pitch2.54mm",""
"Q4","BSS138","TO_SOT_Packages_SMD:SOT-23",""
"R20","10k","Resistors_SMD:R_0603",""
"R21","10k","Resistors_SMD:R_0603",""
"D2","Diode","Diodes_SMD:D_0603",""
"D3","5.6V","Diodes_SMD:D_SOD-323",""
"R15","100k","Resistors_SMD:R_0603",""
"R12","10k","Resistors_SMD:R_0603",""
"R16","47k","Resistors_SMD:R_0603",""
"C13","22n","Capacitors_SMD:C_0603",""
"U7","LM358","Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm",""
"R17","100k","Resistors_SMD:R_0603",""
"R19","10k","Resistors_SMD:R_0603",""
"J5","CONN_01X04","Pin_Headers:Pin_Header_Straight_1x04_Pitch2.54mm",""
"J9","CONN_01X02","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm",""
"J10","CONN_01X02","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm",""
"J11","CONN_01X02","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm",""
